"DateTime","day_ahead_pricing (michigan_hub) (miso)"
"2017-07-01 00:00:00",21.14
"2017-07-01 01:00:00",19.44
"2017-07-01 02:00:00",17.8
"2017-07-01 03:00:00",16.9
"2017-07-01 04:00:00",16.03
"2017-07-01 05:00:00",15.82
"2017-07-01 06:00:00",15.37
"2017-07-01 07:00:00",17.96
"2017-07-01 08:00:00",20.07
"2017-07-01 09:00:00",22.98
"2017-07-01 10:00:00",24.8
"2017-07-01 11:00:00",25.58
"2017-07-01 12:00:00",26.13
"2017-07-01 13:00:00",28.37
"2017-07-01 14:00:00",29.46
"2017-07-01 15:00:00",31.68
"2017-07-01 16:00:00",34.47
"2017-07-01 17:00:00",39.31
"2017-07-01 18:00:00",37.45
"2017-07-01 19:00:00",31.95
"2017-07-01 20:00:00",29.13
"2017-07-01 21:00:00",27.12
"2017-07-01 22:00:00",25.2
"2017-07-01 23:00:00",23.66
"2017-07-02 00:00:00",22.83
"2017-07-02 01:00:00",20.42
"2017-07-02 02:00:00",19.54
"2017-07-02 03:00:00",19.4
"2017-07-02 04:00:00",19.3
"2017-07-02 05:00:00",19.55
"2017-07-02 06:00:00",20.68
"2017-07-02 07:00:00",22.23
"2017-07-02 08:00:00",24.25
"2017-07-02 09:00:00",25.57
"2017-07-02 10:00:00",27.36
"2017-07-02 11:00:00",30.1
"2017-07-02 12:00:00",32.1
"2017-07-02 13:00:00",35.45
"2017-07-02 14:00:00",40.86
"2017-07-02 15:00:00",42.83
"2017-07-02 16:00:00",46.74
"2017-07-02 17:00:00",45.75
"2017-07-02 18:00:00",41.36
"2017-07-02 19:00:00",35.59
"2017-07-02 20:00:00",31.57
"2017-07-02 21:00:00",29.43
"2017-07-02 22:00:00",26.24
"2017-07-02 23:00:00",23.64
"2017-07-03 00:00:00",22.4
"2017-07-03 01:00:00",20.24
"2017-07-03 02:00:00",18.95
"2017-07-03 03:00:00",18.39
"2017-07-03 04:00:00",17.99
"2017-07-03 05:00:00",17.87
"2017-07-03 06:00:00",18.08
"2017-07-03 07:00:00",19.14
"2017-07-03 08:00:00",21.63
"2017-07-03 09:00:00",23.37
"2017-07-03 10:00:00",25.89
"2017-07-03 11:00:00",25.7
"2017-07-03 12:00:00",27.4
"2017-07-03 13:00:00",30.42
"2017-07-03 14:00:00",32.33
"2017-07-03 15:00:00",32.67
"2017-07-03 16:00:00",34.43
"2017-07-03 17:00:00",35.84
"2017-07-03 18:00:00",34.05
"2017-07-03 19:00:00",30.2
"2017-07-03 20:00:00",28.27
"2017-07-03 21:00:00",27.84
"2017-07-03 22:00:00",24.51
"2017-07-03 23:00:00",23.17
"2017-07-04 00:00:00",22.36
"2017-07-04 01:00:00",21.08
"2017-07-04 02:00:00",20.61
"2017-07-04 03:00:00",19.58
"2017-07-04 04:00:00",19.29
"2017-07-04 05:00:00",20.35
"2017-07-04 06:00:00",21.58
"2017-07-04 07:00:00",22.26
"2017-07-04 08:00:00",25.56
"2017-07-04 09:00:00",26.96
"2017-07-04 10:00:00",29.36
"2017-07-04 11:00:00",30.61
"2017-07-04 12:00:00",33.77
"2017-07-04 13:00:00",37.88
"2017-07-04 14:00:00",42.3
"2017-07-04 15:00:00",44.89
"2017-07-04 16:00:00",48.67
"2017-07-04 17:00:00",48.97
"2017-07-04 18:00:00",43.98
"2017-07-04 19:00:00",38.76
"2017-07-04 20:00:00",34.07
"2017-07-04 21:00:00",31.71
"2017-07-04 22:00:00",28.28
"2017-07-04 23:00:00",25.51
"2017-07-05 00:00:00",23.51
"2017-07-05 01:00:00",21.46
"2017-07-05 02:00:00",20.8
"2017-07-05 03:00:00",19.77
"2017-07-05 04:00:00",19.36
"2017-07-05 05:00:00",20.04
"2017-07-05 06:00:00",21.48
"2017-07-05 07:00:00",22.45
"2017-07-05 08:00:00",25.6
"2017-07-05 09:00:00",26.43
"2017-07-05 10:00:00",27.69
"2017-07-05 11:00:00",32.37
"2017-07-05 12:00:00",35.86
"2017-07-05 13:00:00",39.8
"2017-07-05 14:00:00",44.69
"2017-07-05 15:00:00",48.24
"2017-07-05 16:00:00",53.18
"2017-07-05 17:00:00",52.18
"2017-07-05 18:00:00",45.91
"2017-07-05 19:00:00",40.23
"2017-07-05 20:00:00",34.92
"2017-07-05 21:00:00",33.29
"2017-07-05 22:00:00",27.89
"2017-07-05 23:00:00",25.76
"2017-07-06 00:00:00",23.32
"2017-07-06 01:00:00",21.2
"2017-07-06 02:00:00",20.65
"2017-07-06 03:00:00",19.62
"2017-07-06 04:00:00",19.88
"2017-07-06 05:00:00",20.68
"2017-07-06 06:00:00",22.11
"2017-07-06 07:00:00",23.62
"2017-07-06 08:00:00",25.92
"2017-07-06 09:00:00",26.27
"2017-07-06 10:00:00",29.15
"2017-07-06 11:00:00",31.93
"2017-07-06 12:00:00",34.89
"2017-07-06 13:00:00",39.66
"2017-07-06 14:00:00",43.07
"2017-07-06 15:00:00",45.59
"2017-07-06 16:00:00",49.95
"2017-07-06 17:00:00",46.56
"2017-07-06 18:00:00",39.42
"2017-07-06 19:00:00",33.75
"2017-07-06 20:00:00",30.15
"2017-07-06 21:00:00",28.41
"2017-07-06 22:00:00",25.4
"2017-07-06 23:00:00",26.05
"2017-07-07 00:00:00",22.56
"2017-07-07 01:00:00",21.57
"2017-07-07 02:00:00",20.41
"2017-07-07 03:00:00",20.02
"2017-07-07 04:00:00",19.42
"2017-07-07 05:00:00",19.18
"2017-07-07 06:00:00",19.39
"2017-07-07 07:00:00",20.04
"2017-07-07 08:00:00",22.72
"2017-07-07 09:00:00",25.13
"2017-07-07 10:00:00",27.4
"2017-07-07 11:00:00",27.78
"2017-07-07 12:00:00",29.17
"2017-07-07 13:00:00",30.27
"2017-07-07 14:00:00",32.33
"2017-07-07 15:00:00",32.4
"2017-07-07 16:00:00",35.95
"2017-07-07 17:00:00",36.66
"2017-07-07 18:00:00",32.72
"2017-07-07 19:00:00",30.68
"2017-07-07 20:00:00",27.67
"2017-07-07 21:00:00",26.92
"2017-07-07 22:00:00",24.85
"2017-07-07 23:00:00",22.39
"2017-07-08 00:00:00",22.39
