"DateTime","day_ahead_pricing (michigan_hub) (miso)"
"2017-09-01 00:00:00",19.71
"2017-09-01 01:00:00",18.34
"2017-09-01 02:00:00",17.32
"2017-09-01 03:00:00",17.72
"2017-09-01 04:00:00",17.42
"2017-09-01 05:00:00",18.45
"2017-09-01 06:00:00",19.16
"2017-09-01 07:00:00",19.33
"2017-09-01 08:00:00",21.18
"2017-09-01 09:00:00",22.54
"2017-09-01 10:00:00",23.36
"2017-09-01 11:00:00",23.5
"2017-09-01 12:00:00",24.15
"2017-09-01 13:00:00",24.87
"2017-09-01 14:00:00",24.79
"2017-09-01 15:00:00",25.24
"2017-09-01 16:00:00",25.58
"2017-09-01 17:00:00",25.67
"2017-09-01 18:00:00",25.23
"2017-09-01 19:00:00",24.96
"2017-09-01 20:00:00",25.31
"2017-09-01 21:00:00",24.5
"2017-09-01 22:00:00",22.63
"2017-09-01 23:00:00",20.68
"2017-09-02 00:00:00",19.41
"2017-09-02 01:00:00",18.93
"2017-09-02 02:00:00",18.56
"2017-09-02 03:00:00",17.22
"2017-09-02 04:00:00",16.06
"2017-09-02 05:00:00",16.49
"2017-09-02 06:00:00",17.55
"2017-09-02 07:00:00",17.87
"2017-09-02 08:00:00",18.78
"2017-09-02 09:00:00",20.97
"2017-09-02 10:00:00",22.56
"2017-09-02 11:00:00",23.53
"2017-09-02 12:00:00",23.85
"2017-09-02 13:00:00",25.03
"2017-09-02 14:00:00",24.94
"2017-09-02 15:00:00",26.07
"2017-09-02 16:00:00",28.12
"2017-09-02 17:00:00",28.35
"2017-09-02 18:00:00",26.95
"2017-09-02 19:00:00",27.32
"2017-09-02 20:00:00",26.69
"2017-09-02 21:00:00",25.31
"2017-09-02 22:00:00",22.86
"2017-09-02 23:00:00",20.14
"2017-09-03 00:00:00",18.73
"2017-09-03 01:00:00",17.17
"2017-09-03 02:00:00",16.08
"2017-09-03 03:00:00",14.34
"2017-09-03 04:00:00",13.76
"2017-09-03 05:00:00",14.17
"2017-09-03 06:00:00",16.08
"2017-09-03 07:00:00",18.52
"2017-09-03 08:00:00",19.28
"2017-09-03 09:00:00",21.47
"2017-09-03 10:00:00",23.56
"2017-09-03 11:00:00",24.68
"2017-09-03 12:00:00",26.37
"2017-09-03 13:00:00",28.81
"2017-09-03 14:00:00",30.27
"2017-09-03 15:00:00",31.1
"2017-09-03 16:00:00",33.14
"2017-09-03 17:00:00",36.24
"2017-09-03 18:00:00",33.46
"2017-09-03 19:00:00",32.34
"2017-09-03 20:00:00",30.69
"2017-09-03 21:00:00",28.85
"2017-09-03 22:00:00",25.54
"2017-09-03 23:00:00",22.31
"2017-09-04 00:00:00",20.87
"2017-09-04 01:00:00",19.54
"2017-09-04 02:00:00",18.69
"2017-09-04 03:00:00",18.67
"2017-09-04 04:00:00",18.69
"2017-09-04 05:00:00",21.29
"2017-09-04 06:00:00",24.58
"2017-09-04 07:00:00",24.98
"2017-09-04 08:00:00",24.93
"2017-09-04 09:00:00",26.3
"2017-09-04 10:00:00",28.76
"2017-09-04 11:00:00",29.91
"2017-09-04 12:00:00",30.59
"2017-09-04 13:00:00",31.57
"2017-09-04 14:00:00",32.8
"2017-09-04 15:00:00",33.04
"2017-09-04 16:00:00",34.48
"2017-09-04 17:00:00",32.78
"2017-09-04 18:00:00",30.18
"2017-09-04 19:00:00",29.82
"2017-09-04 20:00:00",29.97
"2017-09-04 21:00:00",28.56
"2017-09-04 22:00:00",25.27
"2017-09-04 23:00:00",22.38
"2017-09-05 00:00:00",21.26
"2017-09-05 01:00:00",19.99
"2017-09-05 02:00:00",18.93
"2017-09-05 03:00:00",18.24
"2017-09-05 04:00:00",18.91
"2017-09-05 05:00:00",20.21
"2017-09-05 06:00:00",23.63
"2017-09-05 07:00:00",25.25
"2017-09-05 08:00:00",24.45
"2017-09-05 09:00:00",25.94
"2017-09-05 10:00:00",27.44
"2017-09-05 11:00:00",28.84
"2017-09-05 12:00:00",29.31
"2017-09-05 13:00:00",29.85
"2017-09-05 14:00:00",30.21
"2017-09-05 15:00:00",30.36
"2017-09-05 16:00:00",30.72
"2017-09-05 17:00:00",29.92
"2017-09-05 18:00:00",29.09
"2017-09-05 19:00:00",29.09
"2017-09-05 20:00:00",29.79
"2017-09-05 21:00:00",27.48
"2017-09-05 22:00:00",24.99
"2017-09-05 23:00:00",23.57
"2017-09-06 00:00:00",21.83
"2017-09-06 01:00:00",19.96
"2017-09-06 02:00:00",18.98
"2017-09-06 03:00:00",18.43
"2017-09-06 04:00:00",18.59
"2017-09-06 05:00:00",20
"2017-09-06 06:00:00",23.63
"2017-09-06 07:00:00",24.05
"2017-09-06 08:00:00",23.7
"2017-09-06 09:00:00",24.76
"2017-09-06 10:00:00",25.7
"2017-09-06 11:00:00",26.4
"2017-09-06 12:00:00",26.84
"2017-09-06 13:00:00",27.43
"2017-09-06 14:00:00",27.69
"2017-09-06 15:00:00",28.3
"2017-09-06 16:00:00",28.58
"2017-09-06 17:00:00",27.84
"2017-09-06 18:00:00",27.09
"2017-09-06 19:00:00",26.9
"2017-09-06 20:00:00",27.88
"2017-09-06 21:00:00",26.17
"2017-09-06 22:00:00",23.11
"2017-09-06 23:00:00",21.92
"2017-09-07 00:00:00",20.74
"2017-09-07 01:00:00",19.42
"2017-09-07 02:00:00",18.02
