"DateTime","day_ahead_pricing (michigan_hub) (miso)"
"2019-01-01 00:00:00",25.92
"2019-01-01 01:00:00",24.18
"2019-01-01 02:00:00",22.84
"2019-01-01 03:00:00",24.8
"2019-01-01 04:00:00",24.67
"2019-01-01 05:00:00",23.65
"2019-01-01 06:00:00",25.05
"2019-01-01 07:00:00",29.95
"2019-01-01 08:00:00",33.69
"2019-01-01 09:00:00",31.12
"2019-01-01 10:00:00",30.51
"2019-01-01 11:00:00",31.45
"2019-01-01 12:00:00",30.01
"2019-01-01 13:00:00",27.47
"2019-01-01 14:00:00",26.84
"2019-01-01 15:00:00",26.19
"2019-01-01 16:00:00",25.6
"2019-01-01 17:00:00",26.5
"2019-01-01 18:00:00",34.92
"2019-01-01 19:00:00",39.93
"2019-01-01 20:00:00",35.42
"2019-01-01 21:00:00",30.91
"2019-01-01 22:00:00",28.43
"2019-01-01 23:00:00",25.35
"2019-01-02 00:00:00",25.77
"2019-01-02 01:00:00",25.31
"2019-01-02 02:00:00",24.63
"2019-01-02 03:00:00",24.46
"2019-01-02 04:00:00",23.79
"2019-01-02 05:00:00",23.86
"2019-01-02 06:00:00",26.13
"2019-01-02 07:00:00",30.5
"2019-01-02 08:00:00",35.33
"2019-01-02 09:00:00",31.5
"2019-01-02 10:00:00",31.5
"2019-01-02 11:00:00",31.01
"2019-01-02 12:00:00",28.82
"2019-01-02 13:00:00",26.92
"2019-01-02 14:00:00",25.52
"2019-01-02 15:00:00",25.55
"2019-01-02 16:00:00",23.28
"2019-01-02 17:00:00",23.78
"2019-01-02 18:00:00",29.23
"2019-01-02 19:00:00",31.91
"2019-01-02 20:00:00",29.46
"2019-01-02 21:00:00",26.85
"2019-01-02 22:00:00",25.86
"2019-01-02 23:00:00",23.94
"2019-01-03 00:00:00",23.92
"2019-01-03 01:00:00",23.46
"2019-01-03 02:00:00",22.86
"2019-01-03 03:00:00",23.05
"2019-01-03 04:00:00",23.54
"2019-01-03 05:00:00",23.17
"2019-01-03 06:00:00",24.39
"2019-01-03 07:00:00",25.67
"2019-01-03 08:00:00",32.75
"2019-01-03 09:00:00",30.44
"2019-01-03 10:00:00",28.71
"2019-01-03 11:00:00",28.24
"2019-01-03 12:00:00",27.48
"2019-01-03 13:00:00",26.47
"2019-01-03 14:00:00",25.81
"2019-01-03 15:00:00",25.17
"2019-01-03 16:00:00",23.82
"2019-01-03 17:00:00",24.07
"2019-01-03 18:00:00",28.27
"2019-01-03 19:00:00",29.46
"2019-01-03 20:00:00",27.34
"2019-01-03 21:00:00",26.81
"2019-01-03 22:00:00",25.02
"2019-01-03 23:00:00",25.84
"2019-01-04 00:00:00",24.02
"2019-01-04 01:00:00",23.21
"2019-01-04 02:00:00",22.21
"2019-01-04 03:00:00",22.78
"2019-01-04 04:00:00",22.47
"2019-01-04 05:00:00",22.39
"2019-01-04 06:00:00",22.35
"2019-01-04 07:00:00",23.83
"2019-01-04 08:00:00",25.61
"2019-01-04 09:00:00",25.85
"2019-01-04 10:00:00",27.25
"2019-01-04 11:00:00",27.33
"2019-01-04 12:00:00",26.01
"2019-01-04 13:00:00",24.69
"2019-01-04 14:00:00",24.24
"2019-01-04 15:00:00",22.96
"2019-01-04 16:00:00",22.84
"2019-01-04 17:00:00",23.85
"2019-01-04 18:00:00",27.07
"2019-01-04 19:00:00",27.66
"2019-01-04 20:00:00",26.62
"2019-01-04 21:00:00",25.95
"2019-01-04 22:00:00",24.7
"2019-01-04 23:00:00",23.78
"2019-01-05 00:00:00",23.76
"2019-01-05 01:00:00",21.56
"2019-01-05 02:00:00",21.05
"2019-01-05 03:00:00",21.62
"2019-01-05 04:00:00",21.62
"2019-01-05 05:00:00",21.24
"2019-01-05 06:00:00",21.49
"2019-01-05 07:00:00",21.6
"2019-01-05 08:00:00",22.25
"2019-01-05 09:00:00",23.24
"2019-01-05 10:00:00",24.07
"2019-01-05 11:00:00",23.96
"2019-01-05 12:00:00",23.51
"2019-01-05 13:00:00",23.19
"2019-01-05 14:00:00",22.82
"2019-01-05 15:00:00",22.26
"2019-01-05 16:00:00",22.34
"2019-01-05 17:00:00",24.78
"2019-01-05 18:00:00",27.94
"2019-01-05 19:00:00",29.93
"2019-01-05 20:00:00",27.65
