"DateTime","day_ahead_pricing (michigan_hub) (miso)"
"2019-03-01 00:00:00",24.96
"2019-03-01 01:00:00",28.84
"2019-03-01 02:00:00",27.57
"2019-03-01 03:00:00",27.51
"2019-03-01 04:00:00",27.43
"2019-03-01 05:00:00",27.26
"2019-03-01 06:00:00",27.91
"2019-03-01 07:00:00",27.39
"2019-03-01 08:00:00",28.12
"2019-03-01 09:00:00",30.56
"2019-03-01 10:00:00",31.18
"2019-03-01 11:00:00",32.33
"2019-03-01 12:00:00",32.95
"2019-03-01 13:00:00",28.37
"2019-03-01 14:00:00",28.66
"2019-03-01 15:00:00",29.4
"2019-03-01 16:00:00",29.19
"2019-03-01 17:00:00",26.52
"2019-03-01 18:00:00",27.86
"2019-03-01 19:00:00",30.79
"2019-03-01 20:00:00",33.72
"2019-03-01 21:00:00",30.23
"2019-03-01 22:00:00",28.05
"2019-03-01 23:00:00",27.93
"2019-03-02 00:00:00",25.52
"2019-03-02 01:00:00",32.01
"2019-03-02 02:00:00",31.48
"2019-03-02 03:00:00",32.61
"2019-03-02 04:00:00",29.84
"2019-03-02 05:00:00",29.67
"2019-03-02 06:00:00",29.56
"2019-03-02 07:00:00",29.59
"2019-03-02 08:00:00",28.34
"2019-03-02 09:00:00",30.31
"2019-03-02 10:00:00",33.52
"2019-03-02 11:00:00",33.14
"2019-03-02 12:00:00",32.05
"2019-03-02 13:00:00",30.66
"2019-03-02 14:00:00",31
"2019-03-02 15:00:00",30.99
"2019-03-02 16:00:00",30.33
"2019-03-02 17:00:00",32.39
"2019-03-02 18:00:00",35.07
"2019-03-02 19:00:00",41.21
"2019-03-02 20:00:00",48.44
"2019-03-02 21:00:00",42.88
"2019-03-02 22:00:00",37.25
"2019-03-02 23:00:00",34.39
"2019-03-03 00:00:00",33.3
"2019-03-03 01:00:00",32.64
"2019-03-03 02:00:00",32.07
"2019-03-03 03:00:00",32.37
"2019-03-03 04:00:00",31.35
"2019-03-03 05:00:00",32.73
"2019-03-03 06:00:00",40.28
"2019-03-03 07:00:00",53.89
"2019-03-03 08:00:00",73.07
"2019-03-03 09:00:00",69.45
"2019-03-03 10:00:00",62.52
"2019-03-03 11:00:00",56.62
"2019-03-03 12:00:00",52.57
"2019-03-03 13:00:00",48.79
"2019-03-03 14:00:00",44.35
"2019-03-03 15:00:00",38.98
"2019-03-03 16:00:00",36.11
"2019-03-03 17:00:00",36.65
"2019-03-03 18:00:00",44.88
"2019-03-03 19:00:00",55.42
"2019-03-03 20:00:00",69.28
"2019-03-03 21:00:00",59.47
"2019-03-03 22:00:00",53.2
"2019-03-03 23:00:00",43.74
"2019-03-04 00:00:00",38.33
"2019-03-04 01:00:00",39.11
"2019-03-04 02:00:00",38.22
"2019-03-04 03:00:00",36.57
"2019-03-04 04:00:00",36.83
"2019-03-04 05:00:00",39.09
"2019-03-04 06:00:00",39.91
"2019-03-04 07:00:00",53.64
"2019-03-04 08:00:00",70.83
"2019-03-04 09:00:00",60.87
"2019-03-04 10:00:00",54.48
"2019-03-04 11:00:00",48.22
"2019-03-04 12:00:00",43.83
"2019-03-04 13:00:00",41.07
"2019-03-04 14:00:00",41.33
"2019-03-04 15:00:00",39.7
"2019-03-04 16:00:00",38.02
"2019-03-04 17:00:00",38.27
"2019-03-04 18:00:00",43.02
"2019-03-04 19:00:00",47.66
"2019-03-04 20:00:00",60.16
"2019-03-04 21:00:00",51.87
"2019-03-04 22:00:00",47.4
"2019-03-04 23:00:00",44.57
"2019-03-05 00:00:00",41.76
"2019-03-05 01:00:00",36.78
"2019-03-05 02:00:00",35.78
"2019-03-05 03:00:00",35.15
"2019-03-05 04:00:00",35.32
"2019-03-05 05:00:00",36.42
"2019-03-05 06:00:00",41.46
"2019-03-05 07:00:00",50.55
"2019-03-05 08:00:00",69.19
"2019-03-05 09:00:00",55.35
"2019-03-05 10:00:00",47.83
"2019-03-05 11:00:00",42.71
"2019-03-05 12:00:00",38.99
"2019-03-05 13:00:00",34.48
"2019-03-05 14:00:00",30.82
"2019-03-05 15:00:00",31.68
"2019-03-05 16:00:00",28
"2019-03-05 17:00:00",31.48
"2019-03-05 18:00:00",33.97
"2019-03-05 19:00:00",39.47
"2019-03-05 20:00:00",48.78
"2019-03-05 21:00:00",39.94
"2019-03-05 22:00:00",36.95
"2019-03-05 23:00:00",35.01
"2019-03-06 00:00:00",31.94
"2019-03-06 01:00:00",28.71
"2019-03-06 02:00:00",28.14
"2019-03-06 03:00:00",28.48
"2019-03-06 04:00:00",28.4
"2019-03-06 05:00:00",30.13
"2019-03-06 06:00:00",31.96
"2019-03-06 07:00:00",43.37
"2019-03-06 08:00:00",51.57
"2019-03-06 09:00:00",44.02
"2019-03-06 10:00:00",39.83
"2019-03-06 11:00:00",38.27
"2019-03-06 12:00:00",35.12
"2019-03-06 13:00:00",33.13
"2019-03-06 14:00:00",32.29
"2019-03-06 15:00:00",30.68
"2019-03-06 16:00:00",28.64
"2019-03-06 17:00:00",29.01
"2019-03-06 18:00:00",30.56
"2019-03-06 19:00:00",36.21
"2019-03-06 20:00:00",45.37
"2019-03-06 21:00:00",37.8
"2019-03-06 22:00:00",33.01
"2019-03-06 23:00:00",31.02
"2019-03-07 00:00:00",27.88
"2019-03-07 01:00:00",29.02
"2019-03-07 02:00:00",28.32
"2019-03-07 03:00:00",29.06
"2019-03-07 04:00:00",28.44
"2019-03-07 05:00:00",28.78
"2019-03-07 06:00:00",29.7
"2019-03-07 07:00:00",38.89
"2019-03-07 08:00:00",43.2
"2019-03-07 09:00:00",39.88
"2019-03-07 10:00:00",38.76
"2019-03-07 11:00:00",39.01
"2019-03-07 12:00:00",36.17
"2019-03-07 13:00:00",32.65
"2019-03-07 14:00:00",30.11
"2019-03-07 15:00:00",28.7
"2019-03-07 16:00:00",26.57
"2019-03-07 17:00:00",26.65
"2019-03-07 18:00:00",27.66
"2019-03-07 19:00:00",32.7
"2019-03-07 20:00:00",32.42
"2019-03-07 21:00:00",27.39
"2019-03-07 22:00:00",27.72
