"DateTime","day_ahead_pricing (michigan_hub) (miso)"
"2019-11-01 00:00:00",21.52
"2019-11-01 01:00:00",22.42
"2019-11-01 02:00:00",22.62
"2019-11-01 03:00:00",22.74
"2019-11-01 04:00:00",22.82
"2019-11-01 05:00:00",23.89
"2019-11-01 06:00:00",25.36
"2019-11-01 07:00:00",27.97
"2019-11-01 08:00:00",30.9
"2019-11-01 09:00:00",31.62
"2019-11-01 10:00:00",30.32
"2019-11-01 11:00:00",26.74
"2019-11-01 12:00:00",24.58
"2019-11-01 13:00:00",22.99
"2019-11-01 14:00:00",21.96
"2019-11-01 15:00:00",21.51
"2019-11-01 16:00:00",21.42
"2019-11-01 17:00:00",22.94
"2019-11-01 18:00:00",27.37
"2019-11-01 19:00:00",35.34
"2019-11-01 20:00:00",30.47
"2019-11-01 21:00:00",26.56
"2019-11-01 22:00:00",24.53
"2019-11-01 23:00:00",23.38
"2019-11-02 00:00:00",22.14
"2019-11-02 01:00:00",23.41
"2019-11-02 02:00:00",23.14
"2019-11-02 03:00:00",22.69
"2019-11-02 04:00:00",22.5
"2019-11-02 05:00:00",22.92
"2019-11-02 06:00:00",23.12
"2019-11-02 07:00:00",24.89
"2019-11-02 08:00:00",26.86
"2019-11-02 09:00:00",28.44
"2019-11-02 10:00:00",28.18
"2019-11-02 11:00:00",26.35
"2019-11-02 12:00:00",23.85
"2019-11-02 13:00:00",22.49
"2019-11-02 14:00:00",22.1
"2019-11-02 15:00:00",22.27
"2019-11-02 16:00:00",22.37
"2019-11-02 17:00:00",23.97
"2019-11-02 18:00:00",31.9
"2019-11-02 19:00:00",36.39
"2019-11-02 20:00:00",31.43
"2019-11-02 21:00:00",27.99
"2019-11-02 22:00:00",24.71
"2019-11-02 23:00:00",23.31
"2019-11-03 00:00:00",21.73
"2019-11-03 01:00:00",21.27
"2019-11-03 02:00:00",21.01
"2019-11-03 03:00:00",21.22
"2019-11-03 04:00:00",21.65
"2019-11-03 05:00:00",22.1
"2019-11-03 06:00:00",24.5
"2019-11-03 07:00:00",34.66
"2019-11-03 08:00:00",37.8
"2019-11-03 09:00:00",31.79
"2019-11-03 10:00:00",29.94
"2019-11-03 11:00:00",29.4
"2019-11-03 12:00:00",27.35
"2019-11-03 13:00:00",26.24
"2019-11-03 14:00:00",25.64
"2019-11-03 15:00:00",25.28
"2019-11-03 16:00:00",24.81
"2019-11-03 17:00:00",25.62
"2019-11-03 18:00:00",33.53
"2019-11-03 19:00:00",39.38
"2019-11-03 20:00:00",32.58
"2019-11-03 21:00:00",28.94
"2019-11-03 22:00:00",26.42
"2019-11-03 23:00:00",24.08
"2019-11-04 00:00:00",22.87
"2019-11-04 01:00:00",22.51
"2019-11-04 02:00:00",21.76
"2019-11-04 03:00:00",21.24
"2019-11-04 04:00:00",21.56
"2019-11-04 05:00:00",23.05
"2019-11-04 06:00:00",25.63
"2019-11-04 07:00:00",34.01
"2019-11-04 08:00:00",42.17
"2019-11-04 09:00:00",34.33
"2019-11-04 10:00:00",31.44
"2019-11-04 11:00:00",29.89
"2019-11-04 12:00:00",26.22
"2019-11-04 13:00:00",24.9
"2019-11-04 14:00:00",24.57
"2019-11-04 15:00:00",24.36
"2019-11-04 16:00:00",24.61
"2019-11-04 17:00:00",26.06
"2019-11-04 18:00:00",35.47
"2019-11-04 19:00:00",41
"2019-11-04 20:00:00",33.07
"2019-11-04 21:00:00",29.79
