"DateTime","day_ahead_pricing (michigan_hub) (miso)"
"2020-05-01 00:00:00",21.53
"2020-05-01 01:00:00",19.61
"2020-05-01 02:00:00",20.36
"2020-05-01 03:00:00",19.71
"2020-05-01 04:00:00",19.54
"2020-05-01 05:00:00",19.59
"2020-05-01 06:00:00",19.18
"2020-05-01 07:00:00",19.18
"2020-05-01 08:00:00",18.68
"2020-05-01 09:00:00",19.03
"2020-05-01 10:00:00",18.98
"2020-05-01 11:00:00",19.54
"2020-05-01 12:00:00",20.65
"2020-05-01 13:00:00",20.05
"2020-05-01 14:00:00",21.29
"2020-05-01 15:00:00",21.29
"2020-05-01 16:00:00",22.58
"2020-05-01 17:00:00",23.55
"2020-05-01 18:00:00",23.97
"2020-05-01 19:00:00",23.75
"2020-05-01 20:00:00",23
"2020-05-01 21:00:00",23.11
"2020-05-01 22:00:00",20.38
"2020-05-01 23:00:00",18.82
"2020-05-02 00:00:00",19.09
"2020-05-02 01:00:00",18.72
"2020-05-02 02:00:00",18.18
"2020-05-02 03:00:00",18.01
"2020-05-02 04:00:00",17.84
"2020-05-02 05:00:00",18.2
"2020-05-02 06:00:00",18.25
"2020-05-02 07:00:00",18.98
"2020-05-02 08:00:00",18.23
"2020-05-02 09:00:00",19.3
"2020-05-02 10:00:00",20.05
"2020-05-02 11:00:00",20.32
"2020-05-02 12:00:00",20.1
"2020-05-02 13:00:00",20.13
"2020-05-02 14:00:00",20.58
"2020-05-02 15:00:00",21.05
"2020-05-02 16:00:00",21.54
"2020-05-02 17:00:00",22.79
"2020-05-02 18:00:00",22.39
"2020-05-02 19:00:00",22.07
"2020-05-02 20:00:00",21.38
"2020-05-02 21:00:00",21.63
"2020-05-02 22:00:00",18.99
"2020-05-02 23:00:00",18.5
"2020-05-03 00:00:00",17.36
"2020-05-03 01:00:00",19.28
"2020-05-03 02:00:00",19.08
"2020-05-03 03:00:00",19.06
"2020-05-03 04:00:00",18.61
"2020-05-03 05:00:00",18.92
"2020-05-03 06:00:00",23.25
"2020-05-03 07:00:00",25.88
"2020-05-03 08:00:00",25.31
"2020-05-03 09:00:00",23.54
"2020-05-03 10:00:00",26.17
"2020-05-03 11:00:00",25.86
"2020-05-03 12:00:00",26.22
"2020-05-03 13:00:00",25.72
"2020-05-03 14:00:00",26.27
"2020-05-03 15:00:00",26.84
"2020-05-03 16:00:00",26.9
"2020-05-03 17:00:00",26.61
"2020-05-03 18:00:00",26.41
"2020-05-03 19:00:00",25.95
"2020-05-03 20:00:00",24.86
"2020-05-03 21:00:00",25.55
"2020-05-03 22:00:00",21.41
"2020-05-03 23:00:00",21.81
"2020-05-04 00:00:00",20.36
"2020-05-04 01:00:00",21.55
"2020-05-04 02:00:00",20.92
"2020-05-04 03:00:00",20.82
"2020-05-04 04:00:00",20.69
"2020-05-04 05:00:00",21.81
"2020-05-04 06:00:00",22.17
"2020-05-04 07:00:00",26.8
"2020-05-04 08:00:00",27.42
"2020-05-04 09:00:00",28.36
"2020-05-04 10:00:00",28.42
"2020-05-04 11:00:00",28.67
"2020-05-04 12:00:00",27.12
"2020-05-04 13:00:00",27.43
"2020-05-04 14:00:00",27.8
"2020-05-04 15:00:00",26.79
"2020-05-04 16:00:00",26.53
"2020-05-04 17:00:00",26.59
"2020-05-04 18:00:00",26.41
"2020-05-04 19:00:00",26.66
"2020-05-04 20:00:00",27.09
"2020-05-04 21:00:00",27.33
"2020-05-04 22:00:00",23.3
"2020-05-04 23:00:00",21.13
"2020-05-05 00:00:00",19.91
"2020-05-05 01:00:00",19.47
"2020-05-05 02:00:00",19.32
"2020-05-05 03:00:00",19.24
"2020-05-05 04:00:00",18.94
"2020-05-05 05:00:00",19.19
"2020-05-05 06:00:00",21.17
"2020-05-05 07:00:00",23.62
"2020-05-05 08:00:00",26.53
"2020-05-05 09:00:00",27.84
"2020-05-05 10:00:00",27.8
"2020-05-05 11:00:00",27.18
"2020-05-05 12:00:00",25.9
"2020-05-05 13:00:00",25.96
"2020-05-05 14:00:00",24.28
"2020-05-05 15:00:00",24.33
"2020-05-05 16:00:00",24.09
"2020-05-05 17:00:00",24.56
"2020-05-05 18:00:00",24.78
"2020-05-05 19:00:00",23.64
"2020-05-05 20:00:00",25.63
"2020-05-05 21:00:00",26.04
"2020-05-05 22:00:00",21.73
"2020-05-05 23:00:00",19.86
"2020-05-06 00:00:00",19.61
"2020-05-06 01:00:00",18.88
"2020-05-06 02:00:00",18.67
"2020-05-06 03:00:00",18.77
"2020-05-06 04:00:00",18.84
"2020-05-06 05:00:00",19.27
"2020-05-06 06:00:00",22.56
"2020-05-06 07:00:00",24.4
"2020-05-06 08:00:00",26.86
"2020-05-06 09:00:00",28.08
"2020-05-06 10:00:00",27.05
"2020-05-06 11:00:00",27.13
"2020-05-06 12:00:00",24.79
"2020-05-06 13:00:00",23.79
"2020-05-06 14:00:00",23.51
"2020-05-06 15:00:00",23.43
"2020-05-06 16:00:00",23.12
"2020-05-06 17:00:00",22.84
"2020-05-06 18:00:00",22.48
"2020-05-06 19:00:00",22.38
"2020-05-06 20:00:00",23.67
"2020-05-06 21:00:00",23.4
"2020-05-06 22:00:00",20.7
"2020-05-06 23:00:00",19.25
"2020-05-07 00:00:00",17.65
"2020-05-07 01:00:00",22.7
"2020-05-07 02:00:00",21.54
"2020-05-07 03:00:00",20.65
"2020-05-07 04:00:00",20.61
"2020-05-07 05:00:00",24.84
"2020-05-07 06:00:00",25.17
"2020-05-07 07:00:00",25.44
"2020-05-07 08:00:00",23.05
"2020-05-07 09:00:00",24.57
"2020-05-07 10:00:00",24.16
"2020-05-07 11:00:00",25.88
"2020-05-07 12:00:00",24.45
"2020-05-07 13:00:00",24.93
"2020-05-07 14:00:00",23.39
"2020-05-07 15:00:00",22.46
"2020-05-07 16:00:00",21.83
"2020-05-07 17:00:00",21.87
"2020-05-07 18:00:00",21.86
"2020-05-07 19:00:00",21.7
"2020-05-07 20:00:00",23.6
"2020-05-07 21:00:00",23.84
"2020-05-07 22:00:00",22.37
"2020-05-07 23:00:00",21.62
"2020-05-08 00:00:00",20.96
"2020-05-08 01:00:00",22.44
"2020-05-08 02:00:00",21.32
"2020-05-08 03:00:00",20.53
"2020-05-08 04:00:00",20.33
"2020-05-08 05:00:00",21.64
"2020-05-08 06:00:00",22.71
"2020-05-08 07:00:00",22.38
"2020-05-08 08:00:00",22.7
"2020-05-08 09:00:00",22
"2020-05-08 10:00:00",20.89
"2020-05-08 11:00:00",20.36
"2020-05-08 12:00:00",18.91
"2020-05-08 13:00:00",18.37
"2020-05-08 14:00:00",17.21
"2020-05-08 15:00:00",16.79
"2020-05-08 16:00:00",16.82
"2020-05-08 17:00:00",16.78
"2020-05-08 18:00:00",17.8
"2020-05-08 19:00:00",18.61
"2020-05-08 20:00:00",20.11
"2020-05-08 21:00:00",21.05
"2020-05-08 22:00:00",18.72
"2020-05-08 23:00:00",21.38
"2020-05-09 00:00:00",20.63
"2020-05-09 01:00:00",14.8
"2020-05-09 02:00:00",14.73
"2020-05-09 03:00:00",14.02
"2020-05-09 04:00:00",14.23
"2020-05-09 05:00:00",14.46
"2020-05-09 06:00:00",16.49
"2020-05-09 07:00:00",18.86
"2020-05-09 08:00:00",17.26
"2020-05-09 09:00:00",17.95
"2020-05-09 10:00:00",18.72
"2020-05-09 11:00:00",18.95
"2020-05-09 12:00:00",19.06
"2020-05-09 13:00:00",18.68
"2020-05-09 14:00:00",17.9
"2020-05-09 15:00:00",18.23
"2020-05-09 16:00:00",18.58
"2020-05-09 17:00:00",18.92
"2020-05-09 18:00:00",19.89
"2020-05-09 19:00:00",19.95
"2020-05-09 20:00:00",21.05
"2020-05-09 21:00:00",22.74
"2020-05-09 22:00:00",21.01
"2020-05-09 23:00:00",19.1
"2020-05-10 00:00:00",18.28
"2020-05-10 01:00:00",18.21
"2020-05-10 02:00:00",18.18
"2020-05-10 03:00:00",17.32
"2020-05-10 04:00:00",18.55
"2020-05-10 05:00:00",22.11
"2020-05-10 06:00:00",25.98
"2020-05-10 07:00:00",27.65
"2020-05-10 08:00:00",28.47
"2020-05-10 09:00:00",31.12
"2020-05-10 10:00:00",29.39
"2020-05-10 11:00:00",28.71
"2020-05-10 12:00:00",26.14
"2020-05-10 13:00:00",24.65
"2020-05-10 14:00:00",22.86
"2020-05-10 15:00:00",22.9
"2020-05-10 16:00:00",22.27
"2020-05-10 17:00:00",22.3
"2020-05-10 18:00:00",22.71
"2020-05-10 19:00:00",22.96
"2020-05-10 20:00:00",24.65
"2020-05-10 21:00:00",26.25
"2020-05-10 22:00:00",22.65
"2020-05-10 23:00:00",19.84
"2020-05-11 00:00:00",20.06
"2020-05-11 01:00:00",19.1
"2020-05-11 02:00:00",19.76
"2020-05-11 03:00:00",19.36
"2020-05-11 04:00:00",19.85
"2020-05-11 05:00:00",21.19
"2020-05-11 06:00:00",26.65
"2020-05-11 07:00:00",25
"2020-05-11 08:00:00",26.66
"2020-05-11 09:00:00",28.53
"2020-05-11 10:00:00",26.79
"2020-05-11 11:00:00",26.08
"2020-05-11 12:00:00",24.92
"2020-05-11 13:00:00",23.79
"2020-05-11 14:00:00",22.85
"2020-05-11 15:00:00",21.95
"2020-05-11 16:00:00",21.52
"2020-05-11 17:00:00",22.19
"2020-05-11 18:00:00",21.95
"2020-05-11 19:00:00",21.69
"2020-05-11 20:00:00",22.54
"2020-05-11 21:00:00",23.46
"2020-05-11 22:00:00",19.97
"2020-05-11 23:00:00",18.83
"2020-05-12 00:00:00",17.41
"2020-05-12 01:00:00",18.18
"2020-05-12 02:00:00",17.32
"2020-05-12 03:00:00",17.02
"2020-05-12 04:00:00",18
"2020-05-12 05:00:00",19.34
"2020-05-12 06:00:00",22.69
"2020-05-12 07:00:00",22.63
"2020-05-12 08:00:00",22.88
"2020-05-12 09:00:00",23.71
"2020-05-12 10:00:00",21.92
"2020-05-12 11:00:00",23.32
"2020-05-12 12:00:00",22.45
"2020-05-12 13:00:00",21.2
"2020-05-12 14:00:00",22.19
"2020-05-12 15:00:00",21.6
"2020-05-12 16:00:00",21.57
"2020-05-12 17:00:00",22.22
"2020-05-12 18:00:00",22.08
"2020-05-12 19:00:00",21.39
"2020-05-12 20:00:00",22.3
"2020-05-12 21:00:00",22.47
"2020-05-12 22:00:00",18.8
"2020-05-12 23:00:00",17.73
"2020-05-13 00:00:00",16.7
"2020-05-13 01:00:00",15.72
"2020-05-13 02:00:00",14.47
"2020-05-13 03:00:00",14.68
"2020-05-13 04:00:00",14.72
"2020-05-13 05:00:00",16.79
"2020-05-13 06:00:00",19.39
"2020-05-13 07:00:00",20.59
"2020-05-13 08:00:00",22.14
"2020-05-13 09:00:00",23.45
"2020-05-13 10:00:00",23.97
"2020-05-13 11:00:00",25.02
"2020-05-13 12:00:00",24.89
"2020-05-13 13:00:00",24.33
"2020-05-13 14:00:00",24.49
"2020-05-13 15:00:00",24.09
"2020-05-13 16:00:00",24.58
"2020-05-13 17:00:00",24.08
"2020-05-13 18:00:00",25.09
"2020-05-13 19:00:00",23.39
"2020-05-13 20:00:00",23.72
"2020-05-13 21:00:00",23.62
"2020-05-13 22:00:00",20.11
"2020-05-13 23:00:00",17.94
"2020-05-14 00:00:00",16.6
"2020-05-14 01:00:00",15.83
"2020-05-14 02:00:00",15.3
"2020-05-14 03:00:00",14.24
"2020-05-14 04:00:00",13.87
"2020-05-14 05:00:00",14.61
"2020-05-14 06:00:00",17.21
"2020-05-14 07:00:00",19.15
"2020-05-14 08:00:00",22.17
"2020-05-14 09:00:00",23.65
"2020-05-14 10:00:00",24.59
"2020-05-14 11:00:00",25.71
"2020-05-14 12:00:00",25.72
"2020-05-14 13:00:00",27.15
"2020-05-14 14:00:00",27.81
"2020-05-14 15:00:00",26.17
"2020-05-14 16:00:00",25.99
"2020-05-14 17:00:00",24.86
"2020-05-14 18:00:00",23.64
"2020-05-14 19:00:00",22.98
"2020-05-14 20:00:00",22.53
"2020-05-14 21:00:00",22.17
"2020-05-14 22:00:00",19.19
"2020-05-14 23:00:00",17.73
"2020-05-15 00:00:00",16.93
"2020-05-15 01:00:00",16.08
"2020-05-15 02:00:00",15.8
"2020-05-15 03:00:00",14.46
"2020-05-15 04:00:00",14.14
"2020-05-15 05:00:00",15.15
"2020-05-15 06:00:00",16.02
"2020-05-15 07:00:00",16.52
"2020-05-15 08:00:00",18.19
"2020-05-15 09:00:00",21.01
"2020-05-15 10:00:00",22.79
"2020-05-15 11:00:00",23.27
"2020-05-15 12:00:00",24.34
"2020-05-15 13:00:00",23.89
"2020-05-15 14:00:00",24.03
"2020-05-15 15:00:00",23.61
"2020-05-15 16:00:00",24.88
"2020-05-15 17:00:00",24.52
"2020-05-15 18:00:00",24.76
"2020-05-15 19:00:00",24.06
"2020-05-15 20:00:00",22.68
"2020-05-15 21:00:00",22.73
"2020-05-15 22:00:00",19.14
"2020-05-15 23:00:00",17.91
"2020-05-16 00:00:00",16.02
"2020-05-16 01:00:00",14.77
"2020-05-16 02:00:00",13.4
"2020-05-16 03:00:00",12.91
"2020-05-16 04:00:00",12.52
"2020-05-16 05:00:00",13.34
"2020-05-16 06:00:00",13.36
"2020-05-16 07:00:00",13.64
"2020-05-16 08:00:00",15.9
"2020-05-16 09:00:00",18.64
"2020-05-16 10:00:00",19.99
"2020-05-16 11:00:00",20.65
"2020-05-16 12:00:00",21.52
"2020-05-16 13:00:00",21.7
"2020-05-16 14:00:00",21.63
"2020-05-16 15:00:00",21.59
"2020-05-16 16:00:00",22.17
"2020-05-16 17:00:00",22.14
"2020-05-16 18:00:00",22.11
"2020-05-16 19:00:00",21.08
"2020-05-16 20:00:00",20.52
"2020-05-16 21:00:00",21.21
"2020-05-16 22:00:00",17.49
"2020-05-16 23:00:00",15.84
"2020-05-17 00:00:00",13.82
"2020-05-17 01:00:00",12.33
"2020-05-17 02:00:00",11.6
"2020-05-17 03:00:00",11.47
"2020-05-17 04:00:00",11.25
"2020-05-17 05:00:00",12.38
"2020-05-17 06:00:00",14.48
"2020-05-17 07:00:00",17.01
"2020-05-17 08:00:00",19.13
"2020-05-17 09:00:00",21.07
"2020-05-17 10:00:00",22.92
"2020-05-17 11:00:00",22.88
"2020-05-17 12:00:00",23.28
"2020-05-17 13:00:00",22.93
"2020-05-17 14:00:00",22.43
"2020-05-17 15:00:00",22.55
"2020-05-17 16:00:00",22.19
"2020-05-17 17:00:00",22.17
